year,country,"Insurance and financial services (% of service imports, BoP)","Insurance and financial services (% of service exports, BoP)",Domestic credit to private sector (% of GDP),"New business density (new registrations per 1,000 people ages 15-64)",Firms using banks to finance working capital (% of firms) ,Firms using banks to finance investment (% of firms),Bribery incidence (% of firms experiencing at least one bribe payment request),Firms competing against unregistered firms (% of firms),Informal payments to public officials (% of firms),Losses due to theft and vandalism (% of annual sales for affected firms),Time required to obtain an operating license (days),Firms with female top manager (% of firms),Firms formally registered when operations started (% of firms),Firms visited or required meetings with tax officials (% of firms),Firms that spend on R&D (% of firms),Firms experiencing losses due to theft and vandalism (% of firms),Firms offering formal training (% of firms),Time spent dealing with the requirements of government regulations (% of senior management time),Firms expected to give gifts in meetings with tax officials (% of firms),Number of visits or required meetings with tax officials (average for affected firms),Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Logistics performance index: Overall (1=low to 5=high),Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),Logistics performance index: Ability to track and trace consignments (1=low to 5=high),ICT goods imports (% total goods imports),Merchandise imports (current US$),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),"Computer, communications and other services (% of commercial service imports)",Transport services (% of commercial service imports),Travel services (% of commercial service imports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),"Computer, communications and other services (% of commercial service exports)",Transport services (% of commercial service exports),Travel services (% of commercial service exports)
2010,ARG,3.947366553916,1.49577087198974,12.6901062454749,0.207357290089047,33.3,30.3,10.3,68.2,18.2,2.0,176.1,9.2,92.4,68.4,54.2,32.7,63.6,20.8,8.7,4.1,2.63,3.15,3.03,3.1,3.82,3.15,9.02,56793000000.0,43.4378454780995,18.1164810917322,0.500295955544609,38.4056777997023,0.339209717324439,1.12000992640523,0.278054733406298,38.4056777997023,35.4116929080344,25.8376626589977,34.7048606765941,41.0876355926798,25.4167463969592,6.69243458459011,2.39525974005936,2.2470242044166,31.3630377332529,43.331881341014,15.6519301546612,39.498424443444
2010,GTM,10.2976711112125,2.62638809303685,24.2180601037473,0.623718113507802,26.2,26.6,11.3,69.8,6.3,4.3,41.1,15.7,90.0,60.8,47.1,34.7,51.9,10.2,3.9,4.5,2.33,2.16,2.74,2.63,3.52,2.71,6.81,13838000000.0,59.6549534762373,10.203348585048,0.267322320597561,30.0889043674175,0.0221191430343937,1.16260769501644,0.358024111780712,30.0889043674175,17.6372560454745,45.9133026106419,25.8615100971845,56.9922557420698,3.32196000461627,0.67792361571537,1.02605855868101,0.28902001424384,38.9094117961702,39.30529330408,12.2022769942589,45.7492944933533
2010,GUY,9.01730527107372,10.9493917933065,24.51380230878,0.2519296967952,59.3,34.5,14.9,59.8,18.4,2.5,22.4,17.7,81.7,70.7,54.3,43.2,63.0,11.5,4.6,5.2,2.02,2.31,2.25,2.27,2.7,2.28,2.91,1397000000.0,69.1176127314089,9.60303580845061,0.34158887076907,14.0964202879278,0.0943979097667665,1.71358058588365,0.0919708672343454,14.0964202879278,38.9893445493444,30.6401395030558,21.3532106765261,82.6054548583916,4.41564169257618,0.0432820711856119,0.280290038493436,0.114496527080421,8.19138498746065,51.0575290107104,5.55786238515484,32.4352168108283
2010,HND,9.23544059008326,1.18554486875291,47.4622470777193,0.405597444636149,25.6,17.0,8.1,63.2,6.1,8.8,28.8,31.7,81.3,62.9,67.2,30.9,35.8,17.0,2.8,3.5,2.39,2.67,2.57,2.78,3.83,2.83,5.87,8907000000.0,56.4417485583088,10.5962269575939,0.362671669373491,32.8424160994061,0.0556483632707996,0.72696444165459,0.258200922525471,32.8424160994061,9.85060363676961,52.6484851112959,28.053920869988,68.4872302922193,3.21820371784089,0.0878030606797567,0.0708498344262525,0.0621569396682404,28.2424325263906,65.8624147201326,2.80098395205914,30.1328978447052
2010,JAM,10.9421478478309,1.5051171301702,26.40566482272,0.915277062106772,53.1,44.2,19.3,66.4,17.9,3.4,9.3,24.1,90.0,34.0,32.0,13.3,25.9,1.7,14.3,1.6,2.0,2.82,2.32,2.53,2.82,3.07,3.88,5225000000.0,67.6566786241823,7.13069070009,0.392966068221779,10.9026759665228,0.0122421698644212,0.563567853467437,0.0464621476870124,10.9026759665228,36.747531501488,41.0530635751929,10.8988086031372,93.1886391409081,3.96311710991871,0.0196239035939865,0.0505135408324113,0.0714401036164574,2.83141191593457,10.1632250644059,11.3519269164974,76.9602972221559
2010,MEX,15.7252719886457,10.1264771778869,22.3237750257634,0.629818615824027,26.9,16.2,17.6,70.3,11.6,3.6,54.0,14.6,84.7,38.1,38.7,40.3,50.8,13.6,10.4,3.0,2.55,2.83,3.04,3.05,3.66,3.28,19.23,310205000000.0,76.063614705369,20.4536257583738,0.22013616249302,3.27018467382804,0.150518759988932,0.721205314900995,0.313526909239815,3.27018467382804,28.7065882614052,32.7864049513668,22.505946572043,91.8865777484787,2.1810643321639,0.0966750615256057,0.352179073565334,0.0812924431572117,5.40735712086855,16.2532966013751,18.9004472895151,54.6398088366704
2010,PER,8.74268646062785,6.86706767537046,30.261687153432,3.27338895596092,49.9,45.9,15.9,68.6,21.4,2.8,46.5,14.1,82.6,62.6,68.2,23.6,60.1,14.1,8.4,2.7,2.5,2.75,2.61,2.8,3.38,2.89,7.5,30030000000.0,48.4497305515377,25.1439450413069,0.744701245078672,26.0844329899635,0.123529941111822,1.75721195297069,3.10480768246896,26.0844329899635,27.8318248600372,41.581483318007,21.6214016008324,69.3702463976714,18.4277792902238,0.272641771025846,0.646747757628228,0.715785320082725,10.7219043148493,1.46198935787817,27.2635612775362,64.0998931461195
2010,SLV,12.1220416179374,2.15159108825299,52.3104277458922,0.496185010245499,44.5,31.7,4.3,65.2,12.7,4.6,44.4,21.4,75.7,64.1,46.6,37.1,61.0,19.6,0.3,4.9,2.48,2.18,2.66,2.67,3.63,2.68,5.3,8416000000.0,50.3704606111044,13.4196765573099,0.174920908145952,34.606050160127,0.0446109430186217,0.686143720228224,0.603827738759185,34.606050160127,22.316068537349,44.2731251488929,20.7666235876304,58.547416817684,0.620985955336153,0.0611734282898294,0.114561707741584,0.0275039867458955,40.5582902529632,50.4276540956285,20.7685929445946,26.6049254896357
2010,URY,3.7779965729567,4.76888878692282,21.4040361151246,2.27219901118431,26.4,13.7,2.2,67.7,8.1,1.1,108.0,19.4,94.6,38.2,55.5,38.1,48.6,11.6,1.8,2.6,2.71,2.77,2.59,2.75,3.06,2.78,5.64,8622000000.0,31.5765852454435,21.1099192776837,0.579679406453588,39.56128138057,1.15064664787991,0.950015091692593,3.92923836260059,39.56128138057,21.7415882425731,45.8124941629605,28.5100816028964,36.1996050031654,16.681655270859,3.47781221301825,0.39491900976635,2.42372755930752,42.7809363369,19.4612069285527,18.8476891553869,56.8602336783763
2012,CHN,8.00776364410521,2.5872202406452,128.922639036534,3.81285584862301,22.1,14.7,11.6,57.7,10.7,0.5,27.5,17.5,95.8,59.4,42.9,3.9,79.2,0.9,10.9,2.1,3.25,3.46,3.47,3.52,3.8,3.52,19.56,1818405000000.0,70.6536188508644,17.9302393964573,1.92748452136944,5.28932836098102,3.15839855181416,1.36848255906818,6.18654540322448,10.5437777486903,24.9397556107951,30.6363771106127,36.3863828398526,75.5722944929562,15.6740497699346,2.23857588112789,3.44637731490507,3.11276513896699,8.297125322993,53.0597461580383,19.3992854021736,24.9409782849041
2012,RUS,3.77131264532158,2.80227693221786,43.9139602428073,3.88821369980175,21.3,11.3,14.2,30.2,20.5,3.0,56.3,20.1,98.3,48.1,19.3,15.8,46.2,14.7,7.3,2.4,2.04,2.59,2.65,2.58,3.02,2.76,7.5,335446000000.0,59.6190811075732,23.7665654932722,16.6140925081419,2.66390150688351,0.468773823395774,1.32867711679595,0.481745950909622,16.6140925081419,40.638986491444,15.4076194743827,40.1039911144271,65.4948924972909,13.3937485051791,2.23631385759259,1.74410265633186,0.301279947541992,20.7403762276201,48.4803985370488,31.1733219663938,17.5040999075894
2014,IND,6.4999725026938,5.042174380998,51.8821873589628,0.081685433522991,36.4,30.3,22.7,50.1,16.6,2.7,17.8,8.9,87.2,35.3,34.7,3.7,35.9,1.9,15.3,3.1,2.717276,3.198278,3.029319,3.080137,3.510833,3.109802,6.31,462910000000.0,55.4697988650805,41.027719457957,1.16759364360531,3.64672591434934,7.12611247749498,0.592193887946254,8.09740994344364,0.592193887946254,54.7809122412646,20.4343613708748,18.2071017303224,62.080656054067,31.3327250919374,4.44635647193794,6.51104853722328,9.16580878124049,6.51104853722328,70.4858746094959,11.8744585476076,12.5787630553215
2014,MMR,1.83436269136196,0.192035179600988,15.5752436663961,0.130831542538613,4.7,2.8,42.9,31.2,26.8,0.9,26.6,29.5,88.4,64.5,4.7,7.4,15.1,2.0,37.1,2.1,1.968452,2.141941,2.071429,2.249909,2.834249,2.357143,1.82,16459000000.0,43.6344211237059,4.78855256076787,0.168539249160541,0.211465269516085,0.126393109598906,4.15691265642189,0.125242276070441,51.5533314939077,34.484418273336,61.969412141155,1.70531043790005,18.2568136320243,5.17780538472784,0.0298568956882811,4.85682489197662,0.0394179472451623,76.5578371055337,34.0392262547559,13.3881330937745,52.3783901660064
2014,NGA,6.32791156445402,1.82274825013219,13.2970053767392,0.76261689122475,16.9,6.9,28.9,46.2,55.3,13.6,14.4,13.9,57.7,68.8,19.6,14.0,30.7,7.5,25.9,3.7,2.348629,2.627793,2.702476,2.808778,3.464486,3.156793,3.92,58300000000.0,59.1561761572249,38.9961713826487,1.90028343358499,2.38286437402924,0.573754222742168,7.33022729700379,1.84764730880727,1.84764730880727,30.6185398711952,37.5994992351673,25.000462223652,47.0117399737456,28.9590579636787,0.0203210346382087,14.5462946644911,24.0292020625758,24.0292020625758,10.1918984037116,51.3702678855803,36.0299565026489
2014,SEN,10.0727640956294,2.06056932510113,27.3169375684194,0.346699563059722,19.6,19.2,11.1,76.4,6.3,5.3,27.8,14.1,87.8,44.1,18.5,14.5,17.4,3.0,7.3,2.1,2.611111,3.025,2.525,2.62217,2.525,2.65,2.77,6555000000.0,55.9518679795198,30.0353224800486,6.7189960791247,3.61221221640047,2.49080626432052,5.8594500593767,14.009000327131,14.009000327131,23.0420183324911,56.1436447817164,10.4796599132055,40.8554423918422,8.77448962035056,1.31135114504876,3.68543138791351,50.3700679878072,50.3700679878072,48.4217901791464,12.905442763146,36.3348906040745
2016,CIV,3.13532925087113,0.0556431428388852,17.6694307998743,0.626266254907255,15.3,23.6,25.3,75.6,29.2,10.1,43.9,14.3,87.9,75.9,15.0,20.6,35.5,15.2,22.9,3.6,2.666667,2.536752,2.617236,2.602573,2.706679,2.61577,4.16,8581000000.0,44.6356388546098,37.2773474774927,1.89176517897581,3.12596794843095,3.54090813642435,5.32548081568877,17.9645622429417,17.9645622429417,33.0931244063922,50.1168576440695,13.4865915347637,57.3568640388945,18.3124724377394,1.33633385182215,4.2999032601164,24.3305754284414,24.3305754284414,26.00179116414,25.9000420336888,48.0337788140893
2016,DOM,13.4051519468186,1.04342174938622,26.8524647811727,1.36728826709537,45.8,38.6,12.3,61.1,15.3,6.6,41.3,21.2,78.7,20.3,10.7,16.7,23.4,7.1,11.9,2.1,2.387879,2.670101,2.677222,2.62728,3.062424,2.627222,4.21,17399000000.0,65.8297631683085,16.3191376093742,0.323574514141436,17.4847282770563,0.0700887631185773,1.05451966763,0.10978530835203,17.4847282770563,20.0749481247484,50.3577069590263,15.5780606398464,75.3608434686507,8.36781227054199,0.0181242821104494,6.35115920096852,0.196922112592211,16.0185913397286,7.52581836389813,7.2729548726294,84.1159166301558
2016,EGY,10.5405766073117,3.03175069822137,34.1348626252639,0.0712571261970325,2.4,14.6,15.2,43.0,19.0,17.0,31.9,4.9,91.4,84.6,4.9,6.1,10.0,7.0,13.2,3.2,2.74962,3.273261,3.203985,3.184964,3.627932,3.150352,4.21,55789000000.0,71.5377246376665,25.5512209292972,6.10199943747352,3.91577505977904,2.91105443303637,2.69195107553307,1.46908891651982,2.91105443303637,20.9700645570701,42.8639420084693,25.08084888276,76.4488312679121,13.7893424227447,9.76182630934321,4.44166068049894,2.35203915116742,9.76182630934321,15.4806182329118,61.5467844825643,19.8731675795896
2016,HND,7.18989468243747,0.136159757996597,57.8354023642267,0.4085693984547,38.1,37.4,8.7,72.5,10.9,7.2,48.9,28.0,85.5,43.1,16.4,27.7,47.7,9.4,3.9,2.1,2.21235,2.579,2.441143,2.462812,2.911381,2.532571,5.49,10559000000.0,51.025788951611,16.7139700598595,0.143756620806897,32.24224869229,0.0388730083505325,1.64611224398285,0.0815811038689161,32.24224869229,16.281167446063,54.670218152551,21.7070044041928,67.9125782885487,1.5375523896316,0.0214272635904514,0.40635966629919,0.212239022184577,30.1973722655999,74.2780920461674,4.45135012540195,21.1316620696981
2016,LSO,2.76516473359574,0.0507053097016353,18.2128934613148,1.76372791220146,34.9,51.8,14.6,68.1,13.8,17.3,1.9,36.2,91.3,66.8,1.3,24.0,31.2,2.7,15.7,1.7,1.912907,1.838721,2.164057,2.025983,2.353684,1.923316,3.27,1861000000.0,12.714354875177,10.0928850141486,0.0266425610694022,0.185459002021937,0.0013856287178539,3.71414210122868,77.1927601106744,77.1927601106744,12.8998505534398,13.8318808694447,70.4226230143998,43.033390133967,0.600352165334272,0.0299054989786519,0.173742589062501,56.3662577006987,56.3662577006987,13.6241504706712,1.42489214450984,84.8980371004037
2016,MLI,1.75483612335367,3.23392170508822,26.4264165830576,0.258497115999116,51.7,55.1,33.7,79.5,43.9,4.0,44.2,11.6,86.5,77.6,17.0,16.8,17.7,27.5,32.1,2.9,2.446283,2.478704,2.464359,2.503073,2.928013,2.362795,4.29,4051000000.0,32.5452838967987,27.8079530935048,1.86606117345634,1.70358590557554,3.23892890606621,4.06726249625136,39.6467630096964,39.6467630096964,26.1915125460484,58.1603921448216,12.5048115891946,26.0970828966497,12.3543034920504,0.605182589268702,5.48093557597379,61.5486136112998,61.5486136112998,45.1818795559861,4.42089992611136,46.9186730856078
2016,MMR,1.86500140308079,0.709163628434763,22.0063669806599,0.188886917714191,11.2,7.1,29.3,31.5,16.5,1.1,39.2,41.1,79.1,51.3,2.4,13.1,5.9,0.8,20.4,1.8,2.428571,2.229592,2.35842,2.458571,2.848624,2.568946,3.08,15705000000.0,34.1979225303912,9.31903665155656,0.363570274428154,1.53202889371102,0.200830863510348,7.15398532042557,0.0686212994814626,56.4789764799918,42.339407960134,54.3183494057155,1.46390048031282,25.7135894866447,10.3326810652985,0.0502029719520458,9.53427887261245,0.211542323123501,63.9407140683904,32.1006154723276,7.70182170898833,59.4714710798393
2016,SLV,16.8434912068896,3.59503246406043,55.0597980078069,0.548235857096812,35.2,25.2,4.2,67.7,5.5,3.3,30.9,28.0,83.3,40.5,9.4,29.1,53.8,11.2,0.7,2.1,2.373656,2.818224,2.660097,2.705726,3.289727,2.777182,5.23,9826000000.0,48.817668557443,18.1662089101714,0.147715550935298,32.2932204637026,0.0449366370388833,1.29581563325172,0.0516493632085662,32.2932204637026,22.397128497801,36.4995945858068,24.0044998312956,54.9084911350811,1.00124047240038,0.0658646749294226,0.0850220306287703,0.139141530956838,43.8804786599671,44.888150784503,18.1144489198234,33.3161453883435
2016,TGO,10.7367018705234,1.97054251756577,30.4170887194541,0.423653479058277,40.3,25.7,7.0,68.7,6.2,7.3,78.4,11.4,81.0,76.7,24.0,19.0,33.7,10.3,4.7,2.8,2.490787,2.622492,2.462016,2.617778,3.241372,2.598379,3.05,2261000000.0,46.2877425982452,41.7032058604793,2.7147618546086,1.6968467171207,1.87836060342785,3.6828874032218,11.8875910882825,11.8875910882825,12.9525866048565,66.6852361356369,9.62547538898324,14.6978610970637,14.1412378303612,1.57890373343337,7.98162949734163,71.1609010725751,71.1609010725751,30.5014176049771,43.5291543129053,23.8364716454706
2016,THA,4.80111543142001,1.24196596961659,146.223949449024,1.27530308879551,28.9,15.3,9.9,25.1,17.6,0.8,2.5,64.8,86.7,41.9,2.9,1.8,18.0,4.8,8.5,1.2,3.105066,3.36694,3.135446,3.2551,3.559929,3.20362,14.03,194198000000.0,57.2916670189472,5.09395996083909,0.630093131902864,1.87736462184622,0.335104792502454,1.48073146399165,0.770665950595896,37.6133582400701,39.2865280815606,34.8734424941468,21.0035796218386,56.4992587262562,10.5884617543674,0.959066969251792,3.61167483047402,2.25265563372433,32.8919768566654,19.2034977527548,9.01494622313776,70.5339002773539
2018,BLR,5.64547455651949,0.616655351889568,27.6140263301177,1.36774474298661,31.1,23.5,4.9,20.3,5.1,2.0,38.0,21.1,98.1,17.1,21.8,10.2,31.5,13.3,3.7,2.8,2.35,2.31,2.64,2.57,3.18,2.54,3.61,38409000000.0,81.5460229073217,11.6846778972409,6.76873199049041,1.24433876720908,0.460067601720905,0.653785235539536,0.502397266711864,6.76873199049041,40.6137719005815,33.9296958921362,19.8040523021076,72.6318336644944,8.8493374367267,0.881196335835672,1.50700757463019,0.706125258282496,18.5126810898551,44.8643498775066,44.4991380092551,10.0183740132474
2018,GRC,7.95069543779622,1.39167776127706,91.2069328032117,1.44362170505096,16.8,8.3,5.5,41.9,5.2,1.1,35.5,17.2,98.1,39.2,12.6,19.3,21.6,6.1,1.7,2.3,2.84,3.3,3.06,3.2,3.66,3.18,4.44,63877000000.0,67.4194175955844,24.1710705581182,8.40823685856474,0.985042242285482,14.101478312224,0.939048042453031,0.662514327532162,8.40823685856474,17.2010480222022,62.4033513355567,12.3724689834428,68.8337991502934,18.2371006427844,11.3888296690068,0.682810764474878,1.34307186996876,12.9220843899702,10.2987603475531,45.0424725976013,43.262158418146
2018,KEN,9.3141321923824,15.3278479749969,31.1986897673002,1.55254722201408,36.2,31.6,23.9,68.8,26.3,4.9,11.4,18.1,89.6,60.1,28.5,22.7,37.4,8.6,20.9,2.7,2.65,2.62,2.81,2.81,3.18,3.07,3.82,17378000000.0,46.1807104839682,43.8806574777906,1.55466668337567,1.259241067244,2.82091307384464,11.907566780043,9.93863160207459,9.93863160207459,45.0369649526219,38.6312768451215,6.32726554099724,45.5485134659456,22.0760974371904,4.95856121884007,11.9668657736323,31.8715893891638,31.8715893891638,16.3234953115701,42.345836416653,23.1806579501265
