year,country,"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Grants and other revenue (% of revenue),Taxes on goods and services (% of revenue),Taxes on international trade (% of revenue),Other taxes (% of revenue),Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Compensation of employees (% of expense),Goods and services expense (% of expense),Interest payments (% of revenue),Interest payments (% of expense),Other expense (% of expense),Subsidies and other transfers (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA building human resources rating (1=low to 6=high),IDA resource allocation index (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Armed forces personnel, total",Armed forces personnel (% of total labor force),Military expenditure (current USD),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),"Internally displaced persons, new displacement associated with disasters (number of cases)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Intentional homicides (per 100,000 people)"
2008,HND,1.46887833748512,-0.213102440429713,23.7935442287409,39.7812904552953,4.56761569168586,0.428650566743536,16.1305159842983,20.2096767024661,50.4410539331256,15.6964673925819,2.49559991490551,2.80960751295444,18.2972772509286,12.7555939104095,4.0,4.0,3.7,3.5,4.0,3.0,3.5,4.0,4.0,3.7,3.5,3.0,4.0,3.0,3.5,3.4,4.0,3.8,3.8,4.5,3.0,20000.0,0.690143984739536,132428400.639025,0.953978556250972,3.61230556116707,70000.0,7.78572825778871,101.109895455405,54.9879365971194
2008,IND,4.62388382137033,-4.97258655315357,14.080706696773,26.2640061722715,14.1393149628036,0.057900436730678,10.9771721522223,45.2283103406782,8.58899322076719,9.76388479514927,26.5385023747673,19.7338835319382,0.540128005389701,32.2919912417365,3.5,4.5,4.2,3.5,4.0,4.0,3.5,3.5,4.0,3.8,4.5,3.5,4.0,3.5,3.5,3.7,4.0,3.7,3.7,3.5,3.5,2582000.0,0.558226618759148,33002376727.3797,2.63146078124112,8.8887836430656,6662000.0,2.91728935070218,4.64659524201847,3.81185657282345
2008,LKA,6.75593933092433,-6.5685306716739,13.7030740836236,44.6347386162181,14.3097915310111,7.92986258905928,13.2773344349014,18.4332851164125,28.2140880440799,14.3089626621633,30.9513300440944,25.0746131269538,9.72690828456485,22.6754278822381,4.0,3.5,3.0,3.5,4.0,3.5,3.0,4.0,4.5,3.4,2.5,3.0,3.5,3.0,3.5,3.3,3.5,3.8,3.7,3.5,3.0,213000.0,2.58142392798191,1511363006.99688,3.24360178402603,16.4404414053479,525000.0,3.36758427066037,16.6597284726299,9.86904900843047
2008,MDA,-0.471695114586313,-0.405899367470837,14.1033678893736,50.3028804549388,5.07744202885753,0.0821221058580436,20.4459489526716,1.33867862882574,14.2751863003205,19.4760803479222,3.18598449393356,3.4986157777099,5.59022171798713,57.1598958560603,3.5,4.0,4.0,3.5,4.0,3.5,4.0,5.0,4.0,3.8,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.9,3.8,4.5,3.0,8000.0,0.571063091050299,36845650.5003849,0.6085356171256,1.46643177205009,200.0,4.54237222144713,8.01519681315775,6.19029058168272
2009,HND,5.89037171564135,-4.4582236763339,23.078014716557,39.6375668582222,3.36856150630209,0.272734242338729,14.1619701907107,20.3943880688556,53.8310009804796,16.7224781850986,2.89510986851012,2.72759266146408,18.9582942729544,7.76063236320159,3.5,4.0,3.5,3.5,4.0,3.0,3.5,4.0,3.5,3.54166666666667,3.0,2.5,4.0,3.0,3.5,3.3,4.0,3.7,3.66666666666667,4.5,3.0,20000.0,0.65502469443098,156802557.276754,1.07491069621038,3.79136488111995,2200.0,8.89951866521194,117.415559794775,63.7888974095123
2009,IND,6.20887147887582,-5.51353416873553,14.1826314052394,23.7764019046758,11.4110733590522,0.0694327467841135,9.80972540638804,50.2709520503202,10.6340063009153,8.99809854035009,28.4629068902757,19.3722386891113,0.872807262830192,34.2519993288966,3.5,4.0,4.0,3.5,4.0,4.0,3.5,3.5,4.0,3.76666666666667,4.5,3.5,4.0,3.5,3.5,3.7,4.0,3.7,3.66666666666667,3.5,3.5,2625586.0,0.564688669954581,38722154392.1843,3.12938472737472,10.3147347654176,5304000.0,3.02227130923788,4.41939260665938,3.74489180043947
2009,LKA,9.87594753823605,-8.92080376514929,13.1577278979445,37.5407612815374,18.9176449833647,9.6107039194229,12.8003204769597,19.234363241938,26.7642325199995,10.7067192552603,42.6806107232147,30.5580910222113,10.8585841142845,21.1123730882444,4.0,3.5,3.16666666666667,3.5,4.0,3.5,3.0,4.0,4.5,3.50833333333333,3.0,3.0,3.5,3.5,3.5,3.4,3.5,3.8,3.66666666666667,3.5,3.0,223100.0,2.69586856631752,1522232372.004,3.16189871004304,14.5576697478223,363000.0,1.93534452493179,8.9659282717733,5.3655621184284
2009,MNG,12.6406540942989,-4.09219219473319,26.0583886241372,30.157853850021,6.10019662889937,0.461768329929847,16.5402944034255,20.6129984489414,33.2358749894449,19.6151498446671,1.55790678003834,1.69869728976682,0.893747899095479,44.5565299770255,3.5,3.0,3.16666666666667,3.0,4.0,2.0,3.0,3.5,4.0,3.35,3.5,3.5,3.5,3.0,3.5,3.4,3.5,3.5,3.33333333333333,4.5,3.0,17200.0,1.51095486198042,37633746.0008346,0.629698225139809,2.31571964752657,22000.0,4.40777112461666,12.0466733299829,8.21235885008226
2010,AZE,0.125279642058166,15.4463675968445,68.4614611091558,13.5532203730705,1.45708683191714,0.758710845190809,12.1577769928176,10.1890492231887,17.908275511931,9.73881649461274,0.198602242445573,0.445647881762284,36.4810740678062,35.4261860438879,4.0,4.5,4.33333333333333,3.0,3.5,3.0,4.5,4.0,4.0,3.68333333333333,4.0,3.0,4.0,3.0,4.0,3.1,3.5,3.8,3.5,3.5,2.5,81940.0,1.91391001960158,1476608733.57005,2.79100435652891,8.7333284208975,32000.0,1.31612981837515,3.18132140161068,2.23011241769356
2010,HND,2.93086555000902,-2.98333366746189,20.9692220918002,40.6807268403482,3.81880821353984,1.12776109391911,14.4250984008607,20.1851400173783,55.6664355714319,13.9973208620244,3.89426668089453,3.75226199149256,20.0366912646001,6.54729031045099,3.5,4.0,3.66666666666667,3.5,3.5,3.0,3.5,4.0,4.0,3.58333333333333,3.5,3.0,4.0,3.0,3.0,3.3,4.0,3.7,3.66666666666667,4.5,3.0,20000.0,0.623469382665556,170186979.693148,1.07445720815541,4.06017600787869,8000.0,9.21447426317116,136.878392409851,73.7906733961016
2010,IND,4.41576045325504,-3.48058118972693,21.1582785853721,21.6756344322562,13.4578911382621,0.0682739280795109,10.3880397905312,43.3847617348911,8.88134086724653,9.39226080883753,22.8257875283649,18.2806647197003,0.711304044187671,36.9879690178401,3.5,4.0,4.0,3.5,3.5,4.0,3.5,3.5,4.0,3.74166666666667,4.5,3.5,4.0,3.5,3.5,3.6,4.0,3.7,3.66666666666667,3.5,3.5,2625586.0,0.561548214305334,46090445656.5003,2.88946327164641,9.86423078543245,1411000.0,2.98323543628376,4.45612745772725,3.74492100127032
2010,LCN,4.77396309020558,-2.56938477808241,14.7826453742874,40.0397556128984,4.10986924705992,1.561230033759,13.0551601317751,24.1786794146039,29.5808791492296,12.7766706169576,9.03662601554941,8.08168243534893,9.07302077263011,39.2169009197249,3.66666666666667,3.61111111111111,3.7037037037037,3.38888888888889,3.61111111111111,3.38888888888889,3.66666666666667,3.66666666666667,3.77777777777778,3.61203703703704,3.83333333333333,3.11111111111111,3.66666666666667,3.16666666666667,3.27777777777778,3.41111111111111,3.77777777777778,3.55555555555556,3.77777777777778,4.27777777777778,3.38888888888889,2444776.0,0.903522405570942,68694550461.3669,1.36279030908835,4.04841656629771,8163600.0,4.3,43.8,23.8
2010,LKA,6.94531106465607,-6.10516333108697,11.7864918084593,42.6002290372897,15.6738049914235,12.3484155011629,10.9318686865706,16.2580258162536,27.8116429102834,8.1177615823935,42.2675705032621,32.6264097448672,11.0573687970301,20.3868169654259,4.0,3.5,3.16666666666667,3.0,4.0,4.0,3.0,4.0,4.5,3.525,3.0,3.0,3.5,3.5,3.5,3.4,3.5,3.7,3.83333333333333,3.5,3.0,223100.0,2.68829254021112,1532026109.10635,2.70074784039336,13.5303583005913,141000.0,1.58359396650699,5.91464373839282,3.6915977324494
2010,SAS,4.32645266458429,-3.30187665605728,22.7989361964965,29.741042800864,15.6738049914235,0.491912392843486,10.2225093509205,16.2580258162536,23.2801147984071,10.3917307479812,18.305351091756,18.2806647197003,0.742220290969062,35.9777485024368,3.4375,3.4375,3.41666666666667,3.3125,3.3125,3.25,3.3125,3.4375,3.875,3.37708333333333,3.5,3.1875,3.6875,3.0,3.3125,3.2125,3.5625,3.525,3.35416666666667,3.375,3.0,4480192.0,0.734115224520715,55774807202.5816,2.78506568686677,10.5902576549521,13252000.0,3.0,5.0,4.0
2011,HND,3.53009869628729,-2.56513845627139,19.5668615120792,40.6662901263585,3.56829588093418,0.421613819150817,14.7879787886259,22.660485954404,50.4285623927061,14.0706971882656,5.52487649281434,5.39319355727578,21.4083207242191,8.69922613673761,3.5,4.0,3.66666666666667,3.5,4.0,3.5,3.5,4.0,3.5,3.625,3.5,3.0,4.0,3.0,3.0,3.4,4.0,3.6,3.83333333333333,4.5,3.0,20000.0,0.62672093652163,200358405.886737,1.13130910330426,4.36598626917938,12000.0,11.3348898487805,151.809246998293,82.389055291302
2011,IND,5.66633898923397,-3.20649564885787,11.5817689046848,24.9818820796394,14.8246284585373,0.0784282579991859,10.1773871997608,48.3843778852168,8.8406484026922,9.34922741492085,22.8683894409753,18.1969064998262,0.708044996366164,37.2768350870541,3.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,3.71666666666667,4.5,3.5,4.0,3.5,3.5,3.6,4.0,3.6,3.66666666666667,4.0,3.5,2647150.0,0.560965305257425,49633815793.7027,2.70448222276966,9.59276900676337,1503000.0,3.08391759194299,4.44586688056942,3.78810410805172
2011,LCN,2.88042405463063,-2.14086912722003,14.6305129506287,36.349386041221,4.21845440154293,1.52064946040116,13.5448692507708,24.467320070811,33.3719075348554,13.0313173382061,9.04442034005116,8.33492000698228,9.4341310687644,34.0058409424852,3.5,3.61111111111111,3.68518518518519,3.33333333333333,3.5,3.38888888888889,3.61111111111111,3.72222222222222,3.77777777777778,3.58055555555555,3.83333333333333,3.11111111111111,3.61111111111111,3.22222222222222,3.22222222222222,3.4,3.77777777777778,3.53333333333333,3.7037037037037,4.22222222222222,3.38888888888889,2447597.0,0.894376858526066,73819638767.9944,1.28568976142382,3.732643522261,1014396.0,4.4,44.5,24.2
2011,LKA,6.30462112381099,-5.59601219344153,13.1252519957007,42.9157494812705,16.6414539375545,9.42799212983871,10.8476049114868,16.560288951561,27.3863120281746,9.72853703053102,37.5712825436328,30.582085843309,11.3364067145954,20.9663499027429,4.0,3.5,3.16666666666667,2.5,4.0,4.0,3.0,4.0,4.5,3.54166666666667,3.0,3.0,3.5,3.5,3.5,3.4,3.5,3.6,4.0,4.0,3.0,223100.0,2.68947054800705,1753321575.5438,2.68531865302989,13.5262842071477,685000.0,1.72437256141097,5.39916164936986,3.509151658991
2011,SAS,5.44453760698322,-3.05437046169307,19.0512407573353,30.9639724586857,14.8246284585373,0.523582848495116,10.089356810972,17.0500151498372,21.9683395897047,12.4851178322759,15.8622555734813,17.2903702844261,0.856423805024494,34.4008133716489,3.3125,3.375,3.27083333333333,3.125,3.3125,3.25,3.125,3.375,4.0625,3.34270833333333,3.3125,3.25,3.6875,2.9375,3.375,3.2,3.5,3.525,3.375,3.5625,3.0,4535300.0,0.735234929404786,60753790483.1092,2.62239706864307,10.3543141864832,2957000.0,3.1,5.0,4.0
2011,TZA,7.29546152686703,-1.50379417970042,33.0262720788841,32.5962319536197,5.68395519079434,8.07662604186627,9.79398200038448,20.6169147348356,20.1448880106345,23.0077902113948,4.39288266857452,4.46853264048101,1.78758154849761,50.5912075889921,3.5,4.0,4.16666666666667,3.0,3.0,4.0,4.0,3.5,3.5,3.7,4.5,3.0,4.0,3.5,3.5,3.3,4.0,3.5,3.83333333333333,4.0,3.0,28400.0,0.131392602901806,307473984.174236,0.903150747306732,4.74598803159502,22000.0,2.35970844848915,15.7464985575975,8.93872195859743
2012,IND,4.88354143255637,-3.7644761333206,13.9496902422322,26.004921087417,14.8663024955806,0.0992976700482553,10.8367717209692,44.8389100348776,8.62654109802068,9.42026100695438,24.9086652545747,19.457832074744,0.671676142371954,38.8285166892674,3.0,4.0,4.0,4.0,3.5,3.5,3.5,3.0,4.0,3.7,4.5,3.5,4.0,3.5,3.5,3.6,4.0,3.7,3.5,4.0,3.5,2728700.0,0.57313418400166,47216920048.2061,2.61816634758562,9.27261936043424,9110000.0,2.99700585535857,4.40577756248,3.7252629496661
2012,LCN,4.17099665943835,-1.46147125503106,14.0424401735629,36.6114212001366,4.26191698301055,1.93808265803788,13.2326099847574,24.5589798279928,29.2621616690719,15.7663658153632,8.59105118911096,7.75896832307024,8.97890963398295,37.1999312916234,3.44444444444444,3.5,3.61111111111111,3.33333333333333,3.5,3.38888888888889,3.5,3.61111111111111,3.83333333333333,3.55185185185185,3.83333333333333,3.05555555555556,3.61111111111111,3.16666666666667,3.27777777777778,3.37777777777778,3.77777777777778,3.53333333333333,3.68518518518519,4.22222222222222,3.38888888888889,2470964.0,0.886430192768459,75354385170.7146,1.30630219366357,3.74927891880351,873000.0,4.4,44.9,24.4
2012,LKA,5.3881496640529,-5.15691923088686,13.6913846442299,46.1516827599138,20.3123652385863,2.56370113433955,10.1110307052525,16.1799943751758,25.672700695439,10.3419611085682,38.2954907659136,30.1576919101688,14.5285484371078,19.2992455003175,4.0,3.5,3.16666666666667,2.5,4.0,4.0,3.0,4.0,4.5,3.54166666666667,3.0,3.0,3.5,3.5,3.5,3.4,3.5,3.6,4.0,4.0,3.0,223100.0,2.67932213030008,1474902627.68117,2.15519951243996,12.0913588178606,129000.0,1.57973198322602,4.95461085897647,3.21642133444658
2012,SAS,4.69329284159362,-3.46198743559121,21.4275795383671,29.0913888500862,15.2213726693912,1.02024134846439,10.6569392036202,17.9970287478294,25.672700695439,10.3419611085682,16.744483390165,19.457832074744,0.820529858474284,35.5887568364776,3.3125,3.3125,3.16666666666667,3.1875,3.3125,3.125,2.9375,3.4375,4.0625,3.3125,3.25,3.25,3.625,3.0,3.375,3.2125,3.5,3.5375,3.33333333333333,3.5625,3.0,4616450.0,0.739959715044414,58489349865.6898,2.54797571364615,10.0350224084102,11777600.0,3.0,5.0,4.0
2012,TZA,3.31418972410876,-2.44007267935925,28.716164315624,38.6273359786525,5.86568734820012,2.51323965656104,10.4330040159572,24.2775727009623,21.2334096695661,22.5755125443945,4.85322794989012,5.06717391196198,1.89426746830078,49.2296364057766,3.5,4.0,4.16666666666667,3.5,3.0,4.0,4.0,3.5,3.5,3.75,4.5,3.0,4.0,3.5,4.0,3.3,4.0,3.7,3.83333333333333,4.0,3.0,28400.0,0.128199543492259,359739418.825016,0.91379934806313,4.6677396113301,10000.0,2.14379886837869,15.2064315668316,8.56315285996907
2013,IND,4.67769607934449,-4.06573304249265,12.6472434391949,27.3004252798172,13.2103336648118,0.0670009662244603,11.0016256942917,46.5792127739105,8.1283070552295,8.74170059547057,25.6891578331182,19.4875635997881,0.53282043325433,40.5235646912167,3.0,4.0,4.0,4.0,3.5,3.5,3.5,3.0,4.0,3.7,4.5,3.5,4.0,3.5,3.5,3.6,4.0,3.7,3.5,4.0,3.5,2749700.0,0.567487323189271,47403528801.4226,2.5488248901417,9.29598164191357,2145000.0,2.87123059009808,4.19092476693106,3.55331583011222
2013,LCN,3.06506571878698,-2.68149614971583,14.2962342728373,35.8652821572353,4.50003691997261,1.16050327775669,13.2211403194056,25.8498861584361,29.0986040016616,15.4957506208438,8.64130940379064,8.1275941692901,9.27408342991308,33.7068844259777,3.44444444444444,3.33333333333333,3.46296296296296,3.33333333333333,3.33333333333333,3.27777777777778,3.33333333333333,3.55555555555556,3.94444444444444,3.5,3.72222222222222,3.05555555555556,3.61111111111111,3.16666666666667,3.22222222222222,3.35555555555556,3.72222222222222,3.53333333333333,3.64814814814815,4.22222222222222,3.5,2484593.0,0.880942399476254,78457041272.38,1.31795110363658,3.71274674777427,354082.0,4.3,43.6,23.7
2013,LKA,5.19289341085172,-5.09312876094842,11.4683823083126,43.9522764911429,16.6316948608787,8.80144974031267,10.1212570540829,17.8325862083915,27.9489676250044,8.48615800135044,38.4984956343047,31.5581221791819,12.1324140872099,19.8741959557909,4.0,3.5,3.16666666666667,2.5,4.0,4.0,3.0,4.0,4.5,3.51666666666667,3.0,3.0,3.5,3.0,3.5,3.3,3.5,3.6,4.0,4.0,3.0,223100.0,2.77714085693281,1600841410.40839,2.15404824269909,12.517053371297,324000.0,1.34021118699063,4.62006508919607,2.92924064310508
2013,MMR,2.49676234898156,-1.41352480621729,72.6366644973643,13.4581437884939,3.08958104135359,0.361131402735158,5.52956758874506,10.3758271015217,13.4742561416347,51.687533695409,6.54237562544988,9.44711968595883,13.8852966982377,11.5057937787598,2.5,4.0,3.66666666666667,2.5,3.0,2.5,3.5,3.0,3.0,2.95,3.5,2.5,2.5,2.5,2.0,2.7,3.0,2.6,2.83333333333333,3.5,2.5,513250.0,2.15585606534615,2366989084.91061,3.99963655299475,17.9269697559709,223000.0,0.819616916175985,4.07587877529261,2.44430549723813
2013,SAS,4.46095434651895,-3.66229828583182,21.6674645529379,28.5948509646907,16.6316948608787,1.05450476858175,10.8029398681451,19.3966719650908,26.6988725573423,9.41297953705725,17.1762291283182,19.4875635997881,1.20044344166369,36.6705806985705,3.375,3.3125,3.16666666666667,3.25,3.375,3.125,2.9375,3.375,4.0625,3.31145833333333,3.25,3.1875,3.625,2.875,3.375,3.1875,3.5,3.5375,3.35416666666667,3.5625,3.0,4629950.0,0.729601335032952,59206270804.7731,2.48085652046331,10.0636554746454,4063000.0,3.0,4.8,3.9
2014,BDI,8.01553304703299,-4.08613489819233,43.5265263026872,36.7223922512977,5.98546228682698,0.055977950244997,13.690026719648,13.7096412089431,44.2182645486367,15.993473646294,3.77331145234813,5.40051969436935,6.39682064245472,27.9909214682452,3.0,3.0,3.33333,3.0,3.5,3.0,3.5,4.0,4.0,3.26667,3.5,2.5,4.0,2.5,3.0,2.8,3.0,3.6,3.33333,4.0,2.5,51050.0,1.11732308212204,62177428.7401455,2.29794559090695,8.07471095475193,12000.0,1.92765200740861,8.87863767106031,5.37403241808829
2014,HND,3.42471638246336,-2.61569741663397,18.2615910620132,44.2633853637302,2.99879892613199,0.392266789735065,16.5426382434487,21.5121310908641,44.1849153360053,14.1847884774488,7.63218840848651,7.52992354437527,26.5253729862726,7.5749996558985,3.0,3.5,3.16667,3.5,3.5,3.5,3.0,3.5,4.0,3.40834,3.0,2.5,4.5,2.5,3.5,3.0,3.5,3.8,3.66667,4.5,3.0,18700.0,0.499053000229244,241887992.174126,1.19271597688079,4.31550839470837,2500.0,10.9836482469955,116.894413221784,64.5387715492367
2014,KEN,5.52297065039309,-4.99153779583201,22.5554645564952,29.7972526768467,7.84333818358788,0.831248034956614,15.1870212650473,37.4211317159664,35.559900412386,22.5576358844338,11.010864266702,10.7286476408265,0.424978567518857,29.8715694039501,3.5,4.5,4.33333,3.5,3.5,4.0,4.0,3.5,4.0,3.81667,4.5,3.5,4.0,3.0,3.5,3.4,4.0,3.7,3.83333,4.0,3.0,29100.0,0.14801606589777,819042626.799535,1.19943336712808,5.12034357468412,1400.0,2.26534572675881,7.82857708518313,5.02925219263668
2014,LCN,4.21913298522548,-3.96571010226344,15.2491026305127,36.049316690947,4.02944935441894,1.45944275034982,13.1385080987318,27.0738405038344,28.2708060165253,14.1847884774488,8.40461348547167,7.64771364062632,8.71383729834059,35.1759659971511,3.44444444444444,3.33333333333333,3.44444555555556,3.33333333333333,3.16666666666667,3.27777777777778,3.33333333333333,3.5,3.94444444444444,3.48426111111111,3.66666666666667,3.05555555555556,3.61111111111111,3.16666666666667,3.22222222222222,3.32222222222222,3.72222222222222,3.52222222222222,3.64814777777778,4.22222222222222,3.5,2621950.0,0.919371033749035,72705458926.1897,1.27132110020039,3.56734827013783,1550762.0,4.2,42.9,23.3
